Metadata_SMILES,Metadata_BROAD_ID,Scaffold
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,BRD-K09549677,c1ccc2c(c1)CCC(CCNCCCc1nc3ccccc3[nH]1)C2
CC[C@]1(O)C[C@H]2CN(C1)CCc1c([nH]c3ccccc13)[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N(C=O)[C@@H]1[C@]22CCN3CC=C[C@@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC,BRD-K09598619,C1=CC2CCC3Nc4ccc(C5CC6CCCN(CCc7c5[nH]c5ccccc75)C6)cc4C34CCN(C1)C24
S=P(N1CC1)(N1CC1)N1CC1,BRD-K09631521,S=P(N1CC1)(N1CC1)N1CC1
CCCCCCCCCCCCCC(=O)N[C@@H](C)[C@H](O)c1ccccc1,BRD-K09635134,c1ccccc1
Cc1cc(C)c(c(C)c1)S(=O)(=O)Nc1cccc(c1)C(F)(F)F,BRD-K09635314,O=S(=O)(Nc1ccccc1)c1ccccc1
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,BRD-K09668667,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)NCCO,BRD-K09764130,
CCCCCCN(CCCCCC)C(=O)Cc1c([nH]c2ccccc12)-c1ccc(F)cc1,BRD-K09778810,c1ccc(-c2cc3ccccc3[nH]2)cc1
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,BRD-K09963420,O=C(CNC(=O)c1ccc2ccccc2n1)NC(CCN1CCC2CCCCC2C1)Cc1ccccc1
Ic1cccc(CSc2nnc(o2)-c2ccncc2)c1,BRD-K09991945,c1ccc(CSc2nnc(-c3ccncc3)o2)cc1
Clc1ccc2Nc3ccccc3C(=Nc2c1)N1CCNCC1,BRD-K10042277,c1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2
Oc1cccc2C(=O)c3cccc(O)c3C(=O)c12,BRD-K10065684,O=C1c2ccccc2C(=O)c2ccccc21
Oc1c(C(=O)C2CC2)c(=O)[nH]c2cc(Cl)ccc12,BRD-K10176267,O=C(c1cc2ccccc2[nH]c1=O)C1CC1
CC[C@@H]1CN2C(=N1)c1[nH]c(nc1N(C)C2=O)-c1ccccc1,BRD-K10177585,O=C1Nc2nc(-c3ccccc3)[nH]c2C2=NCCN12
CC[C@H]([C@H]1O[C@@](CC)(C[C@@H]1C)[C@H]1CC[C@](O)(CC)[C@H](C)O1)C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(O)=O,BRD-K10207760,O=C(CCCCCc1ccccc1)CC1CCC(C2CCCCO2)O1
CN(C)CCOC(=O)COc1ccc(Cl)cc1,BRD-K10314788,c1ccccc1
OC(=O)c1cc(ccc1O)\N=N\c1ccc(cc1)S(=O)(=O)Nc1ccccn1,BRD-K10670311,O=S(=O)(Nc1ccccn1)c1ccc(N=Nc2ccccc2)cc1
COc1ccc2n(C(=O)c3cccc(Cl)c3Cl)c(C)c(CCN3CCOCC3)c2c1,BRD-K10705233,O=C(c1ccccc1)n1cc(CCN2CCOCC2)c2ccccc21
CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1,BRD-K10843433,O=C1CC(=O)N(c2ccccc2)N1c1ccccc1
Oc1ccc(\C=C(\C#N)C(=O)OC\C=C\c2ccccc2)cc1O,BRD-K10870738,O=C(C=Cc1ccccc1)OCC=Cc1ccccc1
CN(C(=O)C(Cl)Cl)c1ccc(OC(=O)c2ccco2)cc1,BRD-K10974103,O=C(Oc1ccccc1)c1ccco1
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,BRD-K10995081,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1
CNC(NCCSCc1csc(N=C(N)N)n1)=NC#N,BRD-K11107424,c1cscn1
Cc1ccc(C)c(OCCCC(C)(C)C(O)=O)c1,BRD-K11129031,c1ccccc1
